Image,Offer,Link,Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Ace Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Freecharge Plus Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Freecharge Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Aura Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Reserve Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Neo Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Flipkart Axis Bank SuperElite Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Airtel Axis Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Samsung Axis Bank Infinite Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Samsung Axis Bank Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank SpiceJet Voyage Black Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Atlas Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,SpiceJet Axis Bank Voyage Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Select Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Privilege Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Vistara Infinite Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Magnus Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Vistara Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Vistara Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank MY Zone Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,Flipkart Axis Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,IndianOil Axis Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Oct/5ec6e8e83d28ac9853c830fb67de0e73.jpg,"Flat 12% OFF (up to Rs. 1,800) + Easy EMI on 3 and 6 months tenure",https://www.yatra.com/offer/details/axis-bank-emi-offers,
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Nov/1e8eeabfebbadb8642f90bc9208d4987.jpg,"Flat Rs. 1,000 OFF",https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Flipkart Wholesale HDFC Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Nov/1e8eeabfebbadb8642f90bc9208d4987.jpg,"Flat Rs. 1,000 OFF",https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank UPI RuPay Biz Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Nov/1e8eeabfebbadb8642f90bc9208d4987.jpg,"Flat Rs. 1,000 OFF",https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Paytm HDFC Bank Select Business Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Nov/1e8eeabfebbadb8642f90bc9208d4987.jpg,"Flat Rs. 1,000 OFF",https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Paytm HDFC Bank Business Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Nov/1e8eeabfebbadb8642f90bc9208d4987.jpg,"Flat Rs. 1,000 OFF",https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC CSC Small Business MoneyBack
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Nov/1e8eeabfebbadb8642f90bc9208d4987.jpg,"Flat Rs. 1,000 OFF",https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Biz Black Metal Edition Credit Card
